Numobs,Datetime,Y_meters,X_meters,Latitude,Longitude,Depth,Surf_DH,Surf_DH_err
10,2005-01-01,2454258.5604359005,3154258.5604359005,82.29826584848156,-9.66112078519696,2.98035009765625,0.12391446887319262,0.0350127488209652
20,2005-01-01,2454258.5604359005,3204258.5604359005,82.36098659107931,-6.3319715401161325,4.15553125,0.1853475248852841,0.06147256520391841
20,2005-01-01,2454258.5604359005,3254258.5604359005,82.39750272677502,-2.959381432352602,2.12167626953125,0.1853475248852841,0.06147256520391841
18,2005-01-01,2454258.5604359005,3304258.5604359005,82.40743842302005,0.4338359885063168,3.602186279296875,0.17291184818029967,0.06165466593188904
10,2005-01-01,2454258.5604359005,3354258.5604359005,82.39069017210502,3.824016402592358,3.3379677734375,0.12391446887319262,0.0350127488209652
10,2005-01-01,2454258.5604359005,3404258.5604359005,82.34743214299212,7.187621715903608,3.1387919921875,0.12391446887319262,0.0350127488209652
10,2005-01-01,2454258.5604359005,3454258.5604359005,82.2781072020856,10.502204164960911,0.7111090698242187,0.12391446887319262,0.0350127488209652
10,2005-01-01,2454258.5604359005,3504258.5604359005,82.18340465940328,13.747261086609452,1.6007415771484377,0.12391446887319262,0.0350127488209652
10,2005-01-01,2454258.5604359005,3554258.5604359005,82.06422726752285,16.904903797575077,2.5225,0.12391446887319262,0.0350127488209652
22,2005-01-01,2504258.5604359005,3104258.5604359005,82.64850493550162,-13.710246656441964,2.946527099609375,0.195403277861348,0.060954220940089315
22,2005-01-01,2504258.5604359005,3154258.5604359005,82.74210246392259,-10.257249739444704,3.152333251953125,0.19540327786134798,0.06095422094008932
22,2005-01-01,2504258.5604359005,3204258.5604359005,82.80867062273856,-6.727355614890584,3.925069580078125,0.19540327786134803,0.060954220940089315
22,2005-01-01,2504258.5604359005,3254258.5604359005,82.84745884896145,-3.1454682011948267,2.607978271484375,0.195403277861348,0.06095422094008932
22,2005-01-01,2504258.5604359005,3304258.5604359005,82.85801691659958,0.4611678408200595,3.633917724609375,0.19540327786134803,0.060954220940089315
22,2005-01-01,2504258.5604359005,3354258.5604359005,82.84022058849787,4.064157641904053,3.977793701171875,0.19540327786134803,0.060954220940089315
22,2005-01-01,2504258.5604359005,3404258.5604359005,82.79427885464321,7.635277265943614,3.934968505859375,0.195403277861348,0.060954220940089315
22,2005-01-01,2504258.5604359005,3454258.5604359005,82.72072179574464,11.14777520386314,3.189556640625,0.195403277861348,0.060954220940089315
10,2005-01-01,2504258.5604359005,3504258.5604359005,82.62037067655048,14.577508069820889,1.4141754150390624,0.12391446887319262,0.0350127488209652
10,2005-01-01,2504258.5604359005,3554258.5604359005,82.49429406867304,17.903798097921342,1.874598876953125,0.12391446887319262,0.0350127488209652
10,2005-01-01,2504258.5604359005,3604258.560435901,82.34375516373922,21.10995280168372,3.876100341796875,0.12391446887319262,0.0350127488209652
10,2005-01-01,2504258.5604359005,3654258.560435901,82.17015577536235,24.18344371685449,3.893466552734375,0.12391446887319262,0.0350127488209652
22,2005-01-01,2554258.5604359005,3104258.5604359005,83.08537816179347,-14.5939171890007,3.04959228515625,0.19540327786134798,0.060954220940089315
22,2005-01-01,2554258.5604359005,3154258.5604359005,83.18494129451612,-10.930831526997938,3.498279052734375,0.19540327786134803,0.060954220940089315
22,2005-01-01,2554258.5604359005,3204258.5604359005,83.25585651798701,-7.17513041724736,2.394952392578125,0.195403277861348,0.060954220940089315
22,2005-01-01,2554258.5604359005,3254258.5604359005,83.29721892191617,-3.356499069882729,3.241247314453125,0.19540327786134803,0.060954220940089315
22,2005-01-01,2554258.5604359005,3304258.5604359005,83.30848302596334,0.4921749904312472,3.5222607421875,0.195403277861348,0.060954220940089315
22,2005-01-01,2554258.5604359005,3354258.5604359005,83.28949795599125,4.336419246606751,3.5107275390625,0.195403277861348,0.060954220940089315
22,2005-01-01,2554258.5604359005,3404258.5604359005,83.2405174229676,8.141997194313214,4.01499560546875,0.195403277861348,0.060954220940089315
22,2005-01-01,2554258.5604359005,3454258.5604359005,83.16218300449302,11.876698596713728,3.787304443359375,0.19540327786134798,0.060954220940089315
